[2025-12-27 14:22:42,661] 17 root - INFO - Initiate the data ingestion
[2025-12-27 14:22:45,939] 68 root - INFO - perform train test split on the dataframe
[2025-12-27 14:22:45,939] 69 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[2025-12-27 14:22:45,939] 74 root - INFO - Exporting train and test file path
[2025-12-27 14:22:45,982] 83 root - INFO - Exported train and test file path.
[2025-12-27 14:22:45,982] 19 root - INFO - Data initiation Completed
[2025-12-27 14:22:45,989] 23 root - INFO - Initiate the data validation 
[2025-12-27 14:22:46,041] 34 root - INFO - Required number of columns : 2
[2025-12-27 14:22:46,041] 35 root - INFO - Dataframe has columns:31
[2025-12-27 14:22:46,042] 34 root - INFO - Required number of columns : 2
[2025-12-27 14:22:46,042] 35 root - INFO - Dataframe has columns:31
[2025-12-27 14:22:46,161] 25 root - INFO - data Validaton Completed
[2025-12-27 14:22:46,162] 28 root - INFO - data Transformation started
[2025-12-27 14:22:46,162] 63 root - INFO - Entered initiate_date_transformation method of DataTransformation class
[2025-12-27 14:22:46,162] 65 root - INFO - Starting data transformatin 
[2025-12-27 14:22:46,182] 50 root - INFO - Entered get_data_transformer_oboject method of Transformation class
